1,She ate an apple.
2,He drank the water.
3,They read a book.
4,We watched a movie.
5,You wrote a letter.
6,I bought a new car.
7,She listened to the music.
8,He played the guitar.
9,They cooked dinner.
10,We visited the museum.
11,She ate a juicy apple.
12,He drank the cold water.
13,They read an interesting book.
14,We watched a thrilling movie.
15,You wrote a long letter.
16,I bought a shiny new car.
17,She listened to the soothing music.
18,He played the melodious guitar.
19,They cooked a delicious dinner.
20,We visited the historic museum.
21,She ate an apple with a fork.
22,He drank the water from a glass.
23,They read a book on the beach.
24,We watched a movie in the theater.
25,You wrote a letter to your friend.
26,I bought a new car from the dealership.
27,She listened to music with her headphones.
28,He played the guitar for his friends.
29,They cooked dinner with fresh ingredients.
30,We visited the museum for an hour.
31,She ate the apple despite her allergies.
32,He drank the water after his workout.
33,They read a book about history.
34,We watched a movie with subtitles.
35,You wrote a letter for your boss.
36,I bought a new car with a loan.
37,She listened to music on her phone.
38,He played the guitar during the concert.
39,They cooked dinner for their family.
40,We visited the museum with a guide.
41,She ate that juicy apple.
42,He drank the cold water from this glass.
43,They read an interesting book about those events.
44,We watched that thrilling movie last night.
45,You wrote this long letter to your pen pal.
46,I bought that shiny new car last week.
47,She listened to that soothing music from her playlist.
48,He played the melodious guitar on that stage.
49,They cooked that delicious dinner for their guests.
50,We visited that historic museum in the city.